category,img_size,feature_choice,patch_grid,patch_top_fraction,threshold,auroc,accuracy,normal_recall,anomaly_recall,macro_f1
carpet,384,last1,8,0.01,0.021560514345765114,0.9502407704654895,0.8803418803418803,0.9285714285714286,0.8651685393258427,0.8522727272727273
carpet,384,last1,8,0.03,0.01717815361917019,0.9518459069020866,0.8974358974358975,0.8928571428571429,0.898876404494382,0.8683420855213804
carpet,384,last1,8,0.05,0.013963311910629272,0.9462279293739968,0.8717948717948718,0.7857142857142857,0.898876404494382,0.8300242130750606
carpet,384,last1,8,0.1,0.011314155533909798,0.9390048154093097,0.8290598290598291,0.5714285714285714,0.9101123595505618,0.7527472527472527
carpet,384,last1,14,0.01,0.02701432630419731,0.9241573033707865,0.8974358974358975,0.9285714285714286,0.8876404494382022,0.8709558823529412
carpet,384,last1,14,0.03,0.02044830098748207,0.9353932584269662,0.8803418803418803,0.8571428571428571,0.8876404494382022,0.8463990997749438
carpet,384,last1,14,0.05,0.017885560169816017,0.9373996789727127,0.8461538461538461,0.7142857142857143,0.8876404494382022,0.7936912225705329
carpet,384,last1,14,0.1,0.014407897368073463,0.9390048154093098,0.8376068376068376,0.6428571428571429,0.898876404494382,0.7742001015744032
carpet,384,last1,20,0.01,0.02609403431415558,0.9594703049759229,0.8974358974358975,0.8928571428571429,0.898876404494382,0.8683420855213804
carpet,384,last1,20,0.03,0.020740509033203125,0.9562600321027287,0.8803418803418803,0.8571428571428571,0.8876404494382022,0.8463990997749438
carpet,384,last1,20,0.05,0.018207335844635963,0.9530497592295345,0.8717948717948718,0.8214285714285714,0.8876404494382022,0.8336965791717994
carpet,384,last1,20,0.1,0.0149441659450531,0.9498394863563403,0.8461538461538461,0.6785714285714286,0.898876404494382,0.7887239165329053
carpet,384,last2,8,0.01,0.029834745451807976,0.9558587479935795,0.8803418803418803,0.8214285714285714,0.898876404494382,0.8431034482758621
carpet,384,last2,8,0.03,0.023692861199378967,0.9454253611556982,0.8547008547008547,0.6428571428571429,0.9213483146067416,0.7926613155425831
carpet,384,last2,8,0.05,0.019488027319312096,0.9402086677367576,0.8632478632478633,0.5714285714285714,0.9550561797752809,0.7903225806451613
carpet,384,last2,8,0.1,0.01677333191037178,0.9273675762439807,0.8632478632478633,0.5357142857142857,0.9662921348314607,0.7835337650323775
carpet,384,last2,14,0.01,0.03735349699854851,0.9225521669341893,0.811965811965812,0.5714285714285714,0.8876404494382022,0.7351851851851852
carpet,384,last2,14,0.03,0.02923879586160183,0.9285714285714286,0.8376068376068376,0.5357142857142857,0.9325842696629213,0.7547710976282405
carpet,384,last2,14,0.05,0.026402074843645096,0.9241573033707864,0.8376068376068376,0.5357142857142857,0.9325842696629213,0.7547710976282405
carpet,384,last2,14,0.1,0.02303944155573845,0.9153290529695024,0.8290598290598291,0.5357142857142857,0.9213483146067416,0.7456521739130435
carpet,384,last2,20,0.01,0.04084676131606102,0.9574638844301765,0.905982905982906,0.9285714285714286,0.898876404494382,0.8805346700083542
carpet,384,last2,20,0.03,0.03137668967247009,0.9526484751203853,0.8632478632478633,0.6785714285714286,0.9213483146067416,0.8074074074074074
carpet,384,last2,20,0.05,0.02782360464334488,0.9474317817014447,0.8461538461538461,0.6071428571428571,0.9213483146067416,0.7774725274725275
carpet,384,last2,20,0.1,0.02346699871122837,0.9329855537720706,0.8290598290598291,0.5357142857142857,0.9213483146067416,0.7456521739130435
carpet,384,last3,8,0.01,0.025615394115447998,0.9430176565008025,0.8717948717948718,0.75,0.9101123595505618,0.8260481712756467
carpet,384,last3,8,0.03,0.021740389987826347,0.9369983948635634,0.8376068376068376,0.6071428571428571,0.9101123595505618,0.7682685291358282
